"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18"
"CFOS",0.0810759715707096,-0.0484378530819322,-0.0108310713700244,-0.000476953291711687,0.00358663879365922,-0.00286495002336719,0.00293562323272188,-0.00153678022205774,-0.0107493643168119,0.00608227482074157,-0.00135330740117978,-0.0512905331087095,0.00128696678234742,-0.00323035102282737,-0.0114729514589176,-0.00406972464664998,0.00726052522921831,0.000342796668606048
"CTCF",0.0829114360788642,-0.00452361733000106,0.012670576974928,-0.00323075259426357,0.00833592583273445,-0.00897822284894371,-0.0113971194925031,-0.00933506650889233,0.00807103161319224,0.0021475132248763,-0.00502431421826708,-0.00655595599351268,-0.00189968363882912,-0.00801704294303869,0.00221419091383223,0.00111872263283915,0.00113694658925447,-0.000126927500035195
"EGR1",0.0812264559090616,-0.0495732294006655,-0.0138590742711591,-0.000302108836366437,0.00289869048128258,0.000759175371730652,-0.000196713856607004,0.00460338593966416,-0.0150589724442972,0.00658627349038345,-0.00465429125654771,0.0452874000011656,0.00363045785963705,-0.00881899748123525,0.00578252509573161,-0.000808664658573551,7.92839481049604e-05,0.000148343855504555
"NRF1",0.0830709615673101,0.0419485363360835,0.00450628627064023,-0.00146681009284642,0.00188855079597275,-0.00383411818343743,-0.00129626743540421,-0.00752975526914494,-0.0184971730202745,0.00157369382500196,0.00746627236102089,0.0161307929594879,-0.00420289564772713,-0.0109757030257475,-0.0015672939484317,-0.000872638108618801,0.000463357625837254,-0.000157666495457448
"NRSF",0.0815760757905177,-0.0839565611165306,-0.0142628302715554,0.000571010202550656,0.00387043754916439,0.0143105182380073,-0.000600680394996764,-0.0330881908815822,0.00619691345446575,-0.0146390210473157,0.00111527055261996,0.00374853687072729,7.2479043660267e-05,0.000555462518445916,0.000862094152369052,-0.000345712380663172,0.000158402500005258,0.000124912516789995
"POU2F2",0.082854161993696,0.041055089386601,-0.0105971526329543,-0.000423379081877005,-0.000898351874770872,0.0106391092457268,-0.000531339349600602,0.00545493218601414,0.0157371690706544,0.0193516270098492,0.000936487250022449,0.0199743714559948,-0.00163583155321784,0.00104019453787564,-0.0163177987546508,0.000691938165860488,0.0019862620204054,7.44490199897158e-05
"SP1",0.0831015143027383,0.053936658826417,-0.003342024128917,-0.00101625868253653,0.00479991161820903,0.00906410292571086,0.00387668954381375,0.00165720020754929,0.00272807113402904,0.0130188273543833,0.0015992999735352,-0.0292793602483214,0.000659119120033738,-0.00688961681253854,0.0197646175221708,0.00183142934211399,-0.00814266175104466,-0.000260395946160714
"SRF",0.0823408494144227,0.0114845020668312,-0.0117976404293003,-0.00113700501876829,-0.00145782857701526,0.00905137055885722,-0.00682570323970004,0.0333536505376524,0.000381034272777758,-0.0179106578609341,0.00120964582524374,-0.00948478430254241,-0.000406882674244366,-0.00550304726531858,0.000906508186026591,0.000421590149545911,0.00157274524323204,0.000101662147851287
"STAT3",0.0828841884959947,0.0263366980714484,-0.0120757040616544,-0.00107438456918209,-0.0184801591697221,-0.0133207168984848,-0.00514676546631509,-0.00985754848887825,0.00444228053049206,0.00238137453018672,0.00302813151885403,-0.00474874458448348,0.00362183919283995,0.00370959784362177,0.00337458860689892,0.00129326824930051,0.000274135227543077,0.000115542931342861
"USF1",0.0818435805774337,-0.0356161241577096,-0.0113900843868354,-0.0011502343096414,0.0094298979804543,-0.0188571636198362,0.0100610329529616,0.0080479006057261,0.0130125787852103,-0.00749137054232425,0.00140684013256405,0.0119618692724194,-0.000874861554845286,0.00203839073527892,0.00179495427454633,0.000720813804105291,0.000586428751491141,0.000120225290250016
"YY1",0.0831133218920061,0.0600375424606434,0.00401653721489753,-0.00162626654343614,0.00293970471025144,0.0019427904551976,-0.00147083375581944,0.00164020283845559,-0.0037532574808322,-0.000294708151430636,-0.000435425475292058,0.0058886867359701,-0.000213232411997566,0.0378703076253496,0.00377350548928475,-0.00589611151813117,-0.00206671127307528,-5.64198090891487e-05
"DNAse",0.0829006063588287,-0.00490283686063936,0.0219157654251304,-0.00069631105019776,0.00686290399736921,0.00176399414726665,0.000618270209383904,0.00159852303158759,-0.0020041708071473,-0.00426777123026052,0.00257856744951919,0.000145397793461538,0.00562361988830395,0.00197600988542378,-0.0139127138782675,0.00417263860450367,-0.00565670321964858,-0.000990698919732212
"H3k27me3",0.0824773539297743,-0.224732620154311,0.0101696248989557,-0.00095153283579181,-0.0111483238231446,0.0019097006615731,0.00274933488685064,0.00638962957163928,-0.00326917894369568,0.00311867425209682,-0.00138347210528547,-0.00358564902558998,-0.00313453733838235,0.00648028700112253,-0.000430285755442686,0.0020651282882661,-0.00549771978388887,-2.53100249955666e-05
"H3k36me3",0.0828233779491757,0.0766660299656879,-0.0116963325750013,0.00565006791140389,0.00160809680474042,-0.00661681045492575,-0.00228284516587934,-0.00194304369338385,-0.00736881302273904,-0.00206198527292828,-0.00297263779941361,-0.00873586917565656,-0.00235709968827015,0.00629719710503455,-0.00592954057848082,0.00433223044293671,-0.00830186589627678,0.000358608581973133
"H3k4me1",0.0829391190393826,0.0645816409147917,0.0100908226956104,0.00109413485312976,-0.0078667180733429,-0.00041635552724406,0.00377120273320935,-0.00105742636817907,0.00638515467738724,-0.00613789035080145,-0.00241743076236795,0.00360696126267122,-0.000201589615873461,-0.0173950758179545,-0.00341996289187202,-0.00771677394523352,-0.00651691567990793,-0.00360181909630589
"H3k4me2",0.0829714129852459,0.0708351748566423,0.0135986547292652,0.000151319704923792,-0.00494977439176595,0.00289359856957926,0.00449455166738904,-0.00193780344453045,0.000925434371795051,-0.00420027088648309,-0.0017865062185959,0.00293328526016859,5.34451107898828e-06,-0.0046546680113138,0.000894351090712675,4.63745179555878e-05,0.00307932749881469,0.0085205825067587
"H3k4me3",0.0829419984473949,0.0806087000429178,0.0082600436526807,-7.20944439056391e-05,-0.00488471600059575,0.00449019593888813,0.00558291712880137,-0.00321744191479888,-0.00375904617166177,-0.00325494987284308,-0.00259904573982124,0.00110548188659491,-0.000841656349962499,0.00515322602763748,0.00473920716866302,0.00540963509885301,0.01243723551101,-0.00453426532087527
"H4k20me1",0.0827856965929022,-0.0811943561667347,0.0136706581334174,0.00614568438970407,0.00370655521920551,-0.00195284153767385,-0.00421320955755028,0.00666931527329453,0.00634012916740215,0.00582203784011408,0.00318827529635565,0.00283870994770148,0.000948602040104538,0.000105366196655361,0.0087908430736804,-0.00246855186722432,0.00732359877393873,-0.000141014527204216
